block,iters,max_eigenvalue
6,41,4.731312050148557
6,42,3.935895341416574
6,43,7.456681670089755
6,44,6.700174070466904
6,45,2.713946316928393
6,46,4.311911090328434
6,47,6.175348100962241
6,48,6.467887870387966
6,49,5.713784631937236
6,50,7.806571359983481
6,51,4.756341389279214
6,52,9.446756815494897
6,53,8.918440471600544
6,54,6.707582372264574
6,55,4.848761363916683
6,56,6.070873843565445
6,57,4.219175268928707
6,58,2.9007354154599057
6,59,5.35002623562394
6,60,5.306752017193713
7,0,2.079493225791861e-05
7,1,1.5108526303689809
7,2,6.907298882486332
7,3,3.240599558097189
7,4,5.049814066542838
7,5,7.802876131309569
7,6,11.441737043273447
7,7,8.181926507362077
7,8,3.155373394970252
7,9,6.882996883131359
7,10,10.015304542231902
7,11,5.825935214768375
7,12,7.5324856068095105
7,13,5.833362431682881
7,14,8.313969725991477
7,15,3.5816548177616285
7,16,6.170556509289849
7,17,14.17019482370483
7,18,5.636446072530807
7,19,5.040176279181528
7,20,6.466094860067535
7,21,6.98711924797721
7,22,5.3866944387215305
7,23,7.983885947869767
7,24,7.7177409748768415
7,25,8.217379146536222
7,26,4.232709213469184
7,27,7.6055443533651035
7,28,9.52354005562215
7,29,9.088327485683326
7,30,8.063355134587693
